#  step      rmse_trn    rmse_e_trn    rmse_f_trn         lr
      0      3.04e+01      2.67e-01      9.61e-01    1.0e-03
    100      1.11e+01      1.25e-02      3.51e-01    1.0e-03
    200      4.12e+01      1.96e+00      1.30e+00    1.0e-03
    300      6.53e+00      1.15e-01      2.06e-01    1.0e-03
    400      9.80e+00      2.74e-02      3.10e-01    1.0e-03
    500      6.58e+00      1.42e-02      2.08e-01    1.0e-03
    600      5.80e+00      1.11e-02      1.83e-01    1.0e-03
    700      4.22e+00      4.11e-02      1.33e-01    1.0e-03
    800      5.98e+00      1.19e-02      1.89e-01    1.0e-03
    900      2.53e+01      1.31e+00      8.00e-01    1.0e-03
   1000      7.05e+00      1.27e-02      2.23e-01    1.0e-03
   1100      4.89e+00      8.99e-02      1.54e-01    1.0e-03
   1200      4.54e+00      6.07e-03      1.44e-01    1.0e-03
   1300      5.51e+00      3.97e-02      1.74e-01    1.0e-03
   1400      5.15e+00      2.32e-02      1.63e-01    1.0e-03
   1500      5.42e+00      1.63e-02      1.71e-01    1.0e-03
   1600      2.48e+01      1.41e+00      7.82e-01    1.0e-03
   1700      4.90e+00      2.99e-02      1.55e-01    1.0e-03
   1800      3.77e+00      2.06e-02      1.19e-01    1.0e-03
   1900      4.91e+00      1.95e-02      1.55e-01    1.0e-03
   2000      4.80e+00      2.24e-02      1.56e-01    9.5e-04
   2100      2.08e+01      9.00e-01      6.73e-01    9.5e-04
   2200      3.79e+00      2.44e-03      1.23e-01    9.5e-04
   2300      2.28e+00      6.47e-03      7.40e-02    9.5e-04
   2400      2.57e+00      6.58e-03      8.33e-02    9.5e-04
   2500      3.28e+00      4.56e-02      1.06e-01    9.5e-04
   2600      6.63e+00      1.28e-02      2.15e-01    9.5e-04
   2700      4.05e+00      6.59e-03      1.31e-01    9.5e-04
   2800      4.15e+00      3.47e-02      1.34e-01    9.5e-04
   2900      2.42e+00      4.54e-03      7.84e-02    9.5e-04
   3000      3.44e+00      3.10e-03      1.12e-01    9.5e-04
   3100      3.57e+00      1.12e-02      1.16e-01    9.5e-04
   3200      2.24e+00      1.30e-02      7.26e-02    9.5e-04
   3300      1.77e+01      3.95e-01      5.74e-01    9.5e-04
   3400      2.59e+00      7.39e-04      8.39e-02    9.5e-04
   3500      3.62e+00      1.87e-03      1.17e-01    9.5e-04
   3600      3.83e+00      1.50e-02      1.24e-01    9.5e-04
   3700      9.31e+00      2.98e-02      3.02e-01    9.5e-04
   3800      4.07e+00      9.38e-03      1.32e-01    9.5e-04
   3900      1.95e+00      1.40e-02      6.33e-02    9.5e-04
   4000      4.26e+00      7.39e-02      1.38e-01    9.0e-04
   4100      2.02e+00      2.69e-02      6.64e-02    9.0e-04
   4200      3.82e+00      2.43e-02      1.27e-01    9.0e-04
   4300      3.27e+00      5.90e-03      1.09e-01    9.0e-04
   4400      2.05e+00      2.18e-02      6.77e-02    9.0e-04
   4500      3.50e+00      2.60e-02      1.16e-01    9.0e-04
   4600      2.02e+00      3.03e-02      6.59e-02    9.0e-04
   4700      2.08e+00      9.17e-03      6.91e-02    9.0e-04
   4800      2.05e+00      1.11e-02      6.81e-02    9.0e-04
   4900      4.03e+00      2.67e-02      1.34e-01    9.0e-04
   5000      3.17e+00      8.39e-03      1.06e-01    9.0e-04
   5100      2.73e+00      1.99e-02      9.07e-02    9.0e-04
   5200      3.65e+00      1.78e-03      1.22e-01    9.0e-04
   5300      2.54e+00      1.28e-02      8.45e-02    9.0e-04
   5400      2.54e+00      5.66e-03      8.46e-02    9.0e-04
   5500      1.60e+01      2.99e-01      5.31e-01    9.0e-04
   5600      3.57e+00      1.24e-02      1.19e-01    9.0e-04
   5700      2.23e+00      1.47e-02      7.39e-02    9.0e-04
   5800      9.85e+00      1.17e-01      3.28e-01    9.0e-04
   5900      3.45e+00      9.37e-03      1.15e-01    9.0e-04
   6000      3.16e+00      2.54e-02      1.07e-01    8.6e-04
   6100      2.51e+00      3.71e-02      8.34e-02    8.6e-04
   6200      2.12e+00      2.96e-03      7.24e-02    8.6e-04
   6300      1.06e+01      1.02e-01      3.62e-01    8.6e-04
   6400      1.87e+00      1.97e-02      6.32e-02    8.6e-04
   6500      4.45e+00      1.48e-03      1.52e-01    8.6e-04
   6600      2.41e+00      1.32e-02      8.21e-02    8.6e-04
   6700      2.64e+00      3.49e-02      8.84e-02    8.6e-04
   6800      1.97e+00      1.52e-02      6.70e-02    8.6e-04
   6900      2.02e+00      3.60e-03      6.88e-02    8.6e-04
   7000      2.89e+00      2.65e-02      9.78e-02    8.6e-04
   7100      4.73e+00      4.77e-03      1.61e-01    8.6e-04
   7200      2.05e+00      3.62e-02      6.74e-02    8.6e-04
   7300      2.48e+00      4.89e-03      8.45e-02    8.6e-04
   7400      2.06e+00      1.91e-02      7.00e-02    8.6e-04
   7500      3.53e+00      1.12e-02      1.20e-01    8.6e-04
   7600      1.92e+00      1.11e-02      6.55e-02    8.6e-04
   7700      2.10e+00      1.60e-03      7.17e-02    8.6e-04
   7800      1.73e+00      6.92e-03      5.89e-02    8.6e-04
   7900      2.81e+00      2.83e-02      9.47e-02    8.6e-04
   8000      1.82e+00      9.34e-03      6.34e-02    8.1e-04
   8100      2.36e+00      1.28e-02      8.23e-02    8.1e-04
   8200      1.63e+00      4.79e-04      5.71e-02    8.1e-04
   8300      1.94e+00      6.16e-03      6.77e-02    8.1e-04
   8400      1.85e+00      7.60e-03      6.46e-02    8.1e-04
   8500      3.20e+00      4.78e-03      1.12e-01    8.1e-04
   8600      1.64e+00      3.04e-03      5.76e-02    8.1e-04
   8700      2.14e+00      4.33e-03      7.48e-02    8.1e-04
   8800      8.23e+00      1.31e-01      2.88e-01    8.1e-04
   8900      1.78e+00      9.28e-03      6.23e-02    8.1e-04
   9000      1.79e+00      1.01e-02      6.25e-02    8.1e-04
   9100      4.35e+00      5.33e-03      1.52e-01    8.1e-04
   9200      1.72e+00      1.91e-02      5.92e-02    8.1e-04
   9300      2.10e+00      9.56e-03      7.33e-02    8.1e-04
   9400      2.83e+00      3.29e-03      9.90e-02    8.1e-04
   9500      1.87e+00      1.11e-02      6.52e-02    8.1e-04
   9600      2.08e+00      8.89e-03      7.25e-02    8.1e-04
   9700      5.74e+00      1.79e-02      2.01e-01    8.1e-04
   9800      1.64e+00      2.88e-03      5.76e-02    8.1e-04
   9900      2.22e+00      2.53e-03      7.76e-02    8.1e-04
