#  step      rmse_trn    rmse_e_trn    rmse_f_trn         lr
      0      2.84e+01      2.46e-01      8.97e-01    1.0e-03
  10000      2.72e+00      1.21e-03      8.83e-02    9.5e-04
  20000      3.76e+00      2.75e-02      1.25e-01    9.0e-04
  30000      2.22e+00      2.20e-02      7.49e-02    8.6e-04
  40000      1.71e+00      4.57e-03      5.97e-02    8.1e-04
  50000      2.34e+00      1.11e-03      8.41e-02    7.7e-04
  60000      4.95e+00      5.97e-03      1.82e-01    7.4e-04
  70000      1.92e+00      4.60e-03      7.24e-02    7.0e-04
  80000      1.51e+00      1.71e-03      5.84e-02    6.6e-04
  90000      1.21e+00      4.59e-03      4.92e-02    6.0e-04
 100000      1.98e+00      5.43e-03      8.28e-02    5.7e-04
 110000      2.17e+00      2.84e-02      8.73e-02    5.4e-04
 120000      2.01e+00      1.31e-03      8.87e-02    5.1e-04
 130000      1.27e+00      1.92e-03      5.76e-02    4.9e-04
 140000      1.06e+00      3.39e-03      4.92e-02    4.6e-04
 150000      1.83e+00      2.21e-03      8.72e-02    4.4e-04
 160000      9.37e-01      2.73e-04      4.58e-02    4.2e-04
 170000      8.42e-01      2.51e-03      4.20e-02    4.0e-04
 180000      1.59e+00      2.18e-03      8.38e-02    3.6e-04
 190000      1.15e+00      3.69e-03      6.19e-02    3.4e-04
 200000      1.14e+00      2.17e-03      6.31e-02    3.2e-04
 210000      7.90e-01      3.04e-04      4.50e-02    3.1e-04
 220000      1.29e+00      5.78e-03      7.43e-02    2.9e-04
 230000      1.03e+00      8.76e-04      6.18e-02    2.8e-04
 240000      8.99e-01      1.06e-03      5.52e-02    2.6e-04
 250000      1.20e+00      3.02e-03      7.57e-02    2.5e-04
 260000      7.96e-01      2.49e-03      5.12e-02    2.4e-04
 270000      6.41e-01      2.50e-03      4.33e-02    2.1e-04
 280000      7.60e-01      6.50e-04      5.31e-02    2.0e-04
 290000      5.95e-01      2.38e-03      4.24e-02    1.9e-04
 300000      8.41e-01      5.82e-03      5.99e-02    1.8e-04
 310000      1.03e+00      5.67e-03      7.59e-02    1.7e-04
 320000      7.22e-01      6.34e-04      5.58e-02    1.7e-04
 330000      5.91e-01      5.11e-03      4.45e-02    1.6e-04
 340000      8.29e-01      1.29e-03      6.74e-02    1.5e-04
 350000      6.48e-01      1.47e-03      5.39e-02    1.4e-04
 360000      5.02e-01      3.01e-03      4.30e-02    1.3e-04
 370000      7.66e-01      2.07e-03      6.87e-02    1.2e-04
 380000      5.65e-01      3.37e-04      5.22e-02    1.2e-04
 390000      4.82e-01      6.37e-04      4.57e-02    1.1e-04
 400000      4.26e-01      1.48e-03      4.11e-02    1.0e-04
 410000      5.88e-01      5.70e-04      5.86e-02    9.9e-05
 420000      4.20e-01      1.74e-03      4.25e-02    9.4e-05
 430000      4.26e-01      8.97e-04      4.46e-02    9.0e-05
 440000      4.47e-01      3.23e-03      4.63e-02    8.5e-05
 450000      9.23e-01      8.35e-03      9.80e-02    7.7e-05
 460000      3.94e-01      2.63e-03      4.43e-02    7.3e-05
 470000      6.76e-01      1.49e-03      8.03e-02    6.9e-05
 480000      5.74e-01      1.20e-03      6.99e-02    6.6e-05
 490000      4.95e-01      1.14e-03      6.18e-02    6.3e-05
 500000      4.26e-01      1.63e-03      5.42e-02    6.0e-05
 510000      5.66e-01      1.41e-03      7.43e-02    5.7e-05
 520000      3.15e-01      4.71e-04      4.25e-02    5.4e-05
 530000      5.11e-01      9.71e-04      7.07e-02    5.1e-05
 540000      3.21e-01      6.63e-04      4.66e-02    4.6e-05
 550000      5.39e-01      1.35e-03      8.01e-02    4.4e-05
